# Spherical harmonic coefficients for the Swarm High-latitude convection (Swarm Hi-C) model
# Produced 01 April 2026
#
# Based on Swarm convection measurements made between 2014-05 and 2025-10, inclusive, using EFI TII Cross-Track Flow Data version 0401 (https://earth.esa.int/eogateway/documents/20142/37627/swarm-EFI-TII-cross-track-flow-dataset-release-notes.pdf).
# Original file: model_v4.0FINAL_iteration_37.txt produced by Fasil Tesema, UiB
# Reference: Hatch et al. (2025), "Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry?", Annales Geophysicae (https://doi.org/10.5194/angeo-42-229-2024)
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
11 3   -0.03329    -0.0605   0.007489   0.003688  -0.003714   -0.03207   -0.00221   0.003676  -0.001492   0.002198  -0.003524   0.004176   0.001624    0.00102  -0.002445   0.002812 -1.639e-05  0.0006335   0.004028 -0.0006052 -0.0003853   0.002656 -0.0005334   0.001584   0.007485   0.005444  -0.002004  -0.001472  -0.004538  -0.009208    0.00144   0.004749   0.001753   0.003053   0.000823   0.004565   0.005162    0.01461
12 0   -0.08628        nan  -0.002569        nan   -0.01124        nan    0.03925        nan  0.0003275        nan    0.03704        nan -0.0005645        nan -0.0002087        nan   0.000447        nan -0.0005668        nan -0.0005047        nan  9.967e-05        nan   -0.01242        nan -0.0006275        nan    0.02705        nan  -0.002273        nan -0.0006029        nan  0.0004408        nan   0.001081        nan
12 1    0.03994    0.03999   -0.07773    0.01705    0.01879    0.01893  0.0005791   0.001716    0.03426  -0.009165   -0.00545  0.0005004  -0.001427  -0.003236  0.0005386 -0.0007494  -0.002021   0.001289 -0.0005841 -6.964e-05  0.0006686  0.0003672   0.002367    0.00062    0.00277   0.003198   0.009536  -0.007539  0.0006882  -0.003185  0.0009744   -0.00154  -0.000666  0.0007855  0.0004442  0.0003774   0.004128  -0.004225
12 2    0.06113     0.1657  -0.002003   0.003772   -0.05057    -0.1134   0.005729   -0.04054   0.000433 -0.0006788    0.00768   -0.01459  0.0002478   0.001254 -0.0005339  0.0001749  9.444e-06 -0.0009701  -0.000228    0.00448   0.001251 -0.0005799 -0.0006316  -0.001092   0.008341    0.03821  -0.002475  0.0007346 -0.0002276   -0.03316   0.002653   0.002419 -0.0009559  -0.002519  0.0005062   0.001628  0.0009225   0.008815
12 3   -0.01701     -0.038     0.0244  -0.009892   0.002795   -0.01126  -0.004931 -0.0004129   -0.01147  -0.003305  -0.008261    0.00648 -0.0004863   0.003446 -0.0002665   0.001594  -0.001385    -0.0011  0.0007728 -0.0008925  0.0002432 -0.0004296  0.0001218 -5.963e-05   0.009931  -0.003629   0.003928   0.002108   -0.01004   0.002318   0.001201   0.003219 -0.0007444  0.0001056 -0.0001873  0.0009902   0.002053 -0.0001676
13 0   -0.02193        nan   -0.06402        nan  -0.008238        nan    0.01343        nan   -0.05509        nan    0.01352        nan  -9.55e-05        nan  0.0001163        nan  0.0006735        nan  -0.001451        nan  -0.001695        nan -0.0008465        nan  -0.009999        nan    -0.0442        nan    0.01111        nan -0.0004543        nan  0.0006414        nan  -0.001151        nan  -0.001212        nan
13 1    0.06819      0.299   0.003693    0.01238    -0.0436    -0.1835    0.02065   -0.01622  -0.006774  -0.001751    0.02216    0.02867   -0.00185  0.0002664  -0.001587 -0.0001846  0.0003403 -0.0005517  -0.001106 -0.0008139 -0.0008756 -0.0003736  0.0002012 -0.0003707 -0.0009176  -0.009485   0.003618 -0.0006797   0.004142    -0.0101 -0.0003841   0.000764 -0.0002253  -0.000584  3.012e-06 -0.0004844 -0.0002096  -0.001331
13 2   -0.02436   -0.05131  -0.002188   -0.02353  0.0008744    0.01144  0.0002716    0.01136  -0.006283  0.0005859  0.0007948   0.009918 -0.0003917 -0.0005641  -0.000241 -6.259e-05  0.0003309 -0.0007483   0.001029 -0.0007456   0.002954  0.0006146  0.0007792  -0.002366   0.002331  -0.006551   -0.00453   0.002898 -0.0005739    0.01003  0.0004195 -0.0005169  -0.002526  -0.001563  -0.001449   0.003657 -0.0004089 -0.0008274
13 3   -0.02217  -0.004477    0.01639  -0.002819  -0.005816   -0.02012   -0.01212   -0.00243  -0.002212   0.002726   -0.01299   0.005734   -0.00089 -0.0005879 -0.0004196 -3.561e-05 -0.0002997  0.0003242 -2.507e-05   0.001182   0.000152 -0.0005699  0.0005576  0.0003931    0.01521   0.006718  -0.001946 -9.937e-05   -0.01358  -0.007321  4.395e-05  -0.002435 -0.0002459 -0.0007528 -0.0004198  -0.000136  -0.004002  -0.002002
14 0  -0.007355        nan    0.00313        nan    -0.0373        nan   0.008287        nan   0.001377        nan    0.02379        nan   0.001145        nan   0.002358        nan  -0.002587        nan   0.003304        nan -0.0007274        nan  -0.001007        nan  -0.005394        nan -0.0008666        nan    0.01625        nan  0.0008699        nan    0.00133        nan   0.001697        nan   0.001109        nan
