# Spherical harmonic coefficients for the Swarm HEmispherically resolved Ionospheric Convection (SHEIC) model
# Produced 19 July 2023
#
# Based on Swarm convection measurements made between 2013-12 to 2020.
# Reference: Hatch, S. M., Vanhamäki, H., Laundal, K. M., Reistad, J. P., Burchill, J., Lomidze, L., Knudsen, D., Madelaire, M., & Tesfaw, H. (2023). Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry? EGUsphere, 2023, 1–41. https://doi.org/10.5194/egusphere-2023-2920
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
 9 1   -0.09988  -0.008925   -0.00856    0.02508     0.0712   -0.03104      0.092     0.1573    0.00157   -0.00753    0.01819    0.02984   0.003446   0.007008   0.007499   -0.01331    -0.0105   0.007048 -6.326e-05 -0.0003167   0.002017  -0.003383  -0.001955   -0.01186   -0.01862    0.01009   0.004171   0.006291    0.02921   -0.01996  -0.004044  -0.004728  -0.007444   0.008357   0.002193   0.003406  0.0001764  -0.003652
 9 2    -0.1089   -0.03433  0.0007177   0.009358  -0.003157   -0.01342   0.008804    0.03845   0.005895  -0.006903  -0.002865   0.003094    0.00586  -0.006004   0.001407    0.01278    0.01464   0.005766  -0.009711  -0.007895    0.01262  -0.008477   -0.02159   0.002311  -0.006222   -0.02458   -0.00256   0.006868   0.002065     0.0271   -0.01828     0.0124  0.0001776    -0.0122   0.006518  -0.005439   0.001153   0.008646
 9 3    0.07698    -0.1112    0.01813    0.01959    -0.0159   -0.03427    0.01681  -0.004714  -0.003885  0.0005073   -0.02035  -0.008288   -0.01225 -0.0007953    0.02216 -0.0009239   -0.01884   -0.01793   0.007481  -0.005073   0.001438   0.007001    0.01141   -0.01652   0.007782   0.008667  -0.002613   0.001043    0.01015  -0.003497  -0.006564   -0.02242 -1.443e-05  -0.006402   -0.01058  -0.003621   0.006616   0.004033
10 0    -0.1791        nan   -0.03543        nan    0.05187        nan    0.04654        nan  -0.005833        nan    0.01617        nan  -0.006758        nan   0.001553        nan    0.01658        nan  -0.002228        nan  -0.004044        nan   0.002346        nan   0.007231        nan  -0.001259        nan   0.001894        nan  -0.007802        nan   0.002287        nan   -0.00711        nan   -0.01635        nan
10 1   -0.02791    0.01582   -0.09944   0.001359   0.009131    0.02438    0.01966  -0.005418    0.03374  -0.002138  -0.003236    0.01468  -0.009076   0.007251    0.01526   -0.01413   0.000763   -0.01226  -0.003589    0.01157  -0.008728  -0.001753  0.0003258   0.005761  -0.007691   0.004915    0.01657  -0.008174   0.007914  -0.002794   0.001784  0.0007432   0.006155  0.0006722  -0.007265   0.005551   0.008014   0.002246
10 2    0.05412    0.07468   0.003566  -0.005224  -0.009087    -0.1219    0.00445   -0.01084  0.0009279   -0.00659   -0.01252    0.02423    0.01135  -0.006952   -0.01121  -0.001158 -0.0005177   0.009099  -0.002309   -0.00721   0.003862  -0.002275  -0.009109   0.001054    0.02296    0.02891  -0.003475  -0.004315   -0.02115   -0.01513  -0.008968 -0.0007793  -0.002907   0.003273  -0.001898   0.006431   -0.01176   0.001599
10 3   -0.00772   -0.04108    0.01237  0.0003281   0.003434   -0.02085    0.01799    0.01916  -0.008644  -0.006831   -0.02138   0.008854   0.001321   -0.01365    0.01336    0.01809    0.01867   -0.01107  -0.005914  0.0006885   0.003059   -0.02307   -0.01489    0.01901  -0.002392   -0.01295   0.008679  0.0007039   0.001275    0.02201    0.00949    0.01227   -0.01548   0.004086    0.01257 -0.0003311    0.01548    0.01573
11 0   -0.05161        nan   0.005665        nan    0.01075        nan    0.02089        nan   -0.09067        nan    0.03268        nan     0.0058        nan   -0.01399        nan  0.0008347        nan   0.002037        nan  -6.75e-05        nan   0.000164        nan   -0.01637        nan   -0.05111        nan    0.01901        nan  -0.008401        nan  -0.001316        nan  0.0002407        nan   -0.01151        nan
11 1    -0.0533     0.1466  -0.003383   0.009223    0.02614    -0.1478    0.07644    0.07306  -0.005673   -0.01067    0.02204    0.04712  -0.006073  -0.003372   0.004149  -0.001059  0.0004206  -0.004419  -0.009411    0.01546  -0.003902  -0.007189  -0.001363    0.01085   -0.01184   0.006924    0.00899  -0.009329    0.01795  -0.002464   0.000237    0.01204  -0.004128  -0.005549  -0.007619  -0.001536   0.004324   0.008172
11 2    -0.1048   -0.01414 -0.0001893   0.006859 -0.0004615    -0.0137   0.001167   0.009237   0.003688  -0.005003   0.007959    0.03467 -9.922e-05   0.009738   -0.00373   -0.01552  -0.005225    0.00299   0.003659  -0.001272  -0.009028   0.003456   0.008652   0.008407   0.002296  -0.008184   -0.00738  -0.003416   0.000953    0.01554   0.004902    -0.0151   0.003737    0.00885    0.00311   0.007984   0.001272  -0.007419
